label,text
spam,"Congratulations! You won a free iPhone. Click now!"
spam,"You have been selected for a $1000 Walmart gift card. Claim now!"
spam,"Earn money from home. No experience needed. Click here!"
spam,"Limited time offer! Get 90% discount on luxury watches."
spam,"Your account has been compromised. Verify immediately."
spam,"Win big prizes today! Register now to receive your reward."
spam,"Act now! Free vacation trip for lucky winners."
spam,"Claim your free cryptocurrency bonus today."
spam,"You are the lucky winner of our Mega Lottery!"
spam,"Your PayPal account needs urgent verification."
spam,"Get rich fast with this secret investment opportunity."
spam,"Exclusive offer just for you! Buy now and save big."
spam,"You won a free Amazon gift card worth $500."
spam,"Hot singles in your area are waiting for you!"
spam,"Work from home and earn $5000 per week."
spam,"Your Netflix subscription has expired. Update payment now."
spam,"Special promotion: Buy 1 get 3 free! Limited time!"
spam,"This is your final notice regarding unpaid taxes."
spam,"Instant loan approval with no credit check!"
spam,"Your bank account has suspicious activity. Click here."
spam,"You’ve been pre-approved for a luxury credit card."
spam,"Act fast! Your exclusive reward expires today."
spam,"Your computer is infected. Download our security tool now."
spam,"Congratulations! You have won our international lottery."
spam,"Receive $10,000 today with this easy online job."

ham,"Hello teacher, I will submit my homework tomorrow."
ham,"Can we meet at 2 PM for the project discussion?"
ham,"Please send me the class schedule."
ham,"Don't forget our meeting tomorrow morning."
ham,"Let's work on the mini project tonight."
ham,"Hi John, are you available for a quick meeting today?"
ham,"Please review the attached document and give feedback."
ham,"The team meeting has been moved to 3 PM."
ham,"Can you help me with the Python assignment?"
ham,"Thank you for your help yesterday."
ham,"I will send the updated report by tonight."
ham,"Let's discuss the presentation slides later."
ham,"The class starts at 9 AM tomorrow."
ham,"Please check the shared Google document."
ham,"Are you coming to the study group tonight?"
ham,"Let me know when you are free to talk."
ham,"I finished the database homework."
ham,"Can we reschedule the meeting for Friday?"
ham,"Please confirm your attendance for the workshop."
ham,"The professor uploaded new lecture notes."
ham,"I will send the project files shortly."
ham,"Let's prepare the demo for next week."
ham,"Did you complete the lab assignment?"
ham,"Please update the system documentation."
ham,"Looking forward to our discussion tomorrow."
